Iteration    0 	Loss PDE = 0.236444222490 	Lyap = -5.78e-02
Iteration   50 	Loss PDE = 0.094025115410 	Lyap = 2.98e-01
Iteration  100 	Loss PDE = 0.096544228915 	Lyap = 3.22e-01
Iteration  150 	Loss PDE = 0.095485547646 	Lyap = 3.30e-01
Iteration  200 	Loss PDE = 0.095215727363 	Lyap = 3.47e-01
Iteration  250 	Loss PDE = 0.090472356742 	Lyap = 3.52e-01
Iteration  300 	Loss PDE = 0.090738590034 	Lyap = 3.55e-01
Iteration  350 	Loss PDE = 0.090473125723 	Lyap = 3.56e-01
Iteration  400 	Loss PDE = 0.090176815952 	Lyap = 3.58e-01
Iteration  450 	Loss PDE = 0.089778500068 	Lyap = 3.58e-01
Iteration  500 	Loss PDE = 0.089225909795 	Lyap = 3.59e-01
Iteration  550 	Loss PDE = 0.088476702193 	Lyap = 3.59e-01
Iteration  600 	Loss PDE = 0.087612116399 	Lyap = 3.59e-01
Iteration  650 	Loss PDE = 0.086960806528 	Lyap = 3.59e-01
Iteration  700 	Loss PDE = 0.102447273632 	Lyap = 3.70e-01
Iteration  750 	Loss PDE = 0.086052676157 	Lyap = 3.58e-01
Iteration  800 	Loss PDE = 0.086371523744 	Lyap = 3.59e-01
Iteration  850 	Loss PDE = 0.082536254898 	Lyap = 3.52e-01
Iteration  900 	Loss PDE = 0.087461352103 	Lyap = 3.60e-01
Iteration  950 	Loss PDE = 0.086049189670 	Lyap = 3.59e-01
Iteration 1000 	Loss PDE = 0.086936776655 	Lyap = 3.59e-01
Iteration 1050 	Loss PDE = 0.086101420840 	Lyap = 3.59e-01
Iteration 1100 	Loss PDE = 0.081111635554 	Lyap = 3.52e-01
Iteration 1150 	Loss PDE = 0.085375438790 	Lyap = 3.58e-01
Iteration 1200 	Loss PDE = 0.096874662010 	Lyap = 3.65e-01
Iteration 1250 	Loss PDE = 0.086346413434 	Lyap = 3.59e-01
Iteration 1300 	Loss PDE = 0.085902650790 	Lyap = 3.59e-01
Iteration 1350 	Loss PDE = 0.085745283852 	Lyap = 3.59e-01
Iteration 1400 	Loss PDE = 0.091179248380 	Lyap = 3.63e-01
Iteration 1450 	Loss PDE = 0.086064322051 	Lyap = 3.59e-01
Iteration 1500 	Loss PDE = 0.085730777509 	Lyap = 3.59e-01
Iteration 1550 	Loss PDE = 0.085477935383 	Lyap = 3.59e-01
Iteration 1600 	Loss PDE = 0.086494971772 	Lyap = 3.59e-01
Iteration 1650 	Loss PDE = 0.085914493464 	Lyap = 3.59e-01
Iteration 1700 	Loss PDE = 0.085715976635 	Lyap = 3.59e-01
Iteration 1750 	Loss PDE = 0.085618652992 	Lyap = 3.59e-01
Iteration 1800 	Loss PDE = 0.088501032284 	Lyap = 3.59e-01
Iteration 1850 	Loss PDE = 0.086858153953 	Lyap = 3.59e-01
Iteration 1900 	Loss PDE = 0.086255553693 	Lyap = 3.59e-01
Iteration 1950 	Loss PDE = 0.085890228035 	Lyap = 3.59e-01
Iteration 2000 	Loss PDE = 0.041330299277 	Lyap = 2.72e-01
Iteration 2050 	Loss PDE = 0.002048955099 	Lyap = 4.72e-02
Iteration 2100 	Loss PDE = 0.000952188013 	Lyap = 4.51e-02
Iteration 2150 	Loss PDE = 0.000429572392 	Lyap = 4.34e-02
Iteration 2200 	Loss PDE = 0.000209685163 	Lyap = 4.17e-02
Iteration 2250 	Loss PDE = 0.000133256201 	Lyap = 4.03e-02
